path,module,array,width_bits,depth,total_bits,category,contract,raw_read_accesses,raw_write_accesses,raw_read_clock_mask,init,source
karu64.varith_u.g_lane[1].u_lane.u_fpu.constant_lookup@rtl/karu_fpu.v:187.9-204.16#375227cc43bc[0],karu_fpu,constant_lookup@rtl/karu_fpu.v:187.9-204.16#375227cc43bc[0],32,32,1024,constant_logic,case/function lookup; not power-up state,1,0,0,constant lookup,rtl/karu_fpu.v:187.9-204.16
karu64.varith_u.g_lane[1].u_lane.u_fpu.constant_lookup@rtl/karu_fpu.v:207.9-224.16#b7d9a249adba[0],karu_fpu,constant_lookup@rtl/karu_fpu.v:207.9-224.16#b7d9a249adba[0],64,32,2048,constant_logic,case/function lookup; not power-up state,1,0,0,constant lookup,rtl/karu_fpu.v:207.9-224.16
karu64.varith_u.i_keccak.constant_lookup@rtl/zvk/keccak.v:48.13-62.20#e4bb92968b41[0],keccak,constant_lookup@rtl/zvk/keccak.v:48.13-62.20#e4bb92968b41[0],8,32,256,constant_logic,case/function lookup; not power-up state,1,0,0,constant lookup,rtl/zvk/keccak.v:48.13-62.20
karu64.varith_u.i_vcrypto.i_aes_keyexp.constant_lookup@rtl/zvk/aes_key_expansion.v:148.13-160.20#f978f985792a[0],key_expansion,constant_lookup@rtl/zvk/aes_key_expansion.v:148.13-160.20#f978f985792a[0],32,16,512,constant_logic,case/function lookup; not power-up state,1,0,0,constant lookup,rtl/zvk/aes_key_expansion.v:148.13-160.20
karu64.varith_u.i_vcrypto.i_aes_keyexp.constant_lookup@rtl/zvk/aes_key_expansion.v:148.13-160.20#f978f985792a[1],key_expansion,constant_lookup@rtl/zvk/aes_key_expansion.v:148.13-160.20#f978f985792a[1],32,16,512,constant_logic,case/function lookup; not power-up state,1,0,0,constant lookup,rtl/zvk/aes_key_expansion.v:148.13-160.20
karu64.varith_u.i_vcrypto.i_sm4.constant_lookup@rtl/zvk/karu_sm4_iter.v:77.13-111.20#c24c9ad60f66[0],karu_sm4_iter,constant_lookup@rtl/zvk/karu_sm4_iter.v:77.13-111.20#c24c9ad60f66[0],32,32,1024,constant_logic,case/function lookup; not power-up state,1,0,0,constant lookup,rtl/zvk/karu_sm4_iter.v:77.13-111.20
karu64.varith_u.iram_u.mem,karu_1w2r_async_ram,mem,64,32,2048,macro_candidate,1W2R; asynchronous reads; full-word write; no bit enable,2,1,00,unspecified,rtl/karu_ram_prim.v:136.22-136.25
karu64.varith_u.pram_u.mem,karu_1w2r_async_ram,mem,64,32,2048,macro_candidate,1W2R; asynchronous reads; full-word write; no bit enable,2,1,00,unspecified,rtl/karu_ram_prim.v:136.22-136.25
karu64.vlsu.buf_u.membuf,karu_vlsu_buf,membuf,128,18,2304,scratch_refactor,async multi-access scratch; retain flops or redesign banking; see README,16,1,0000000000000000,unspecified,rtl/karu_vlsu_buf.v:73.17-73.23
karu64.vlsu.buf_u.peb,karu_vlsu_buf,peb,8,256,2048,scratch_refactor,async multi-access scratch; retain flops or redesign banking; see README,32,24,00000000000000000000000000000000,unspecified,rtl/karu_vlsu_buf.v:75.17-75.20
karu64.vlsu.buf_u.pib,karu_vlsu_buf,pib,8,256,2048,scratch_refactor,async multi-access scratch; retain flops or redesign banking; see README,8,16,00000000,unspecified,rtl/karu_vlsu_buf.v:76.17-76.20
karu64.vlsu.buf_u.regbuf,karu_vlsu_buf,regbuf,128,16,2048,scratch_refactor,async multi-access scratch; retain flops or redesign banking; see README,16,1,0000000000000000,unspecified,rtl/karu_vlsu_buf.v:74.17-74.23
karu64.vrf.u_bram.mem_u.mem,karu_tdp_be_ram,mem,128,64,8192,macro_candidate,2RW TDP; synchronous read; 16 byte write enables/port; NO_CHANGE,2,32,00,unspecified,rtl/karu_ram_prim.v:36.22-36.25
